id,mode,suggestion_mode,node_correct,capability_correct,citation_ids_valid,cited_count,supported_cited_count,gold_clause_in_top5,expected_document_in_top5,error,citations
Q01,缓存回放（代理核对示例）,规则建议,True,True,True,2,2,True,True,,"['sichuan2024-01', 'sichuan2024-02']"
Q02,离线规则,规则建议,True,True,True,2,1,True,True,,"['national2024-12', 'sichuan2024-05']"
Q03,离线规则,规则建议,True,True,True,2,1,True,True,,"['national2024-10', 'national2024-05']"
Q04,离线规则,规则建议,True,True,True,2,1,True,True,,"['national2024-12', 'sichuan2024-05']"
Q05,离线规则,规则建议,True,True,True,2,2,True,True,,"['sichuan2024-01', 'sichuan2024-02']"
Q06,离线规则,规则建议,True,True,True,2,1,True,True,,"['national2024-10', 'national2024-05']"
Q07,离线规则,规则建议,True,True,True,2,2,True,True,,"['sichuan2024-01', 'sichuan2024-02']"
Q08,离线规则,规则建议,True,True,True,2,1,True,True,,"['national2024-12', 'sichuan2024-05']"
Q09,离线规则,规则建议,True,True,True,2,1,True,True,,"['national2024-10', 'national2024-05']"
Q10,离线规则,规则建议,True,True,True,2,1,True,True,,"['national2024-12', 'sichuan2024-05']"
Q11,离线规则,规则建议,True,True,True,2,2,True,True,,"['sichuan2024-01', 'sichuan2024-02']"
Q12,离线规则,规则建议,True,True,True,2,1,True,True,,"['national2024-10', 'sichuan2024-01']"
Q13,离线规则,规则建议,True,True,True,2,2,True,True,,"['sichuan2024-01', 'sichuan2024-02']"
Q14,离线规则,规则建议,True,True,True,2,1,True,True,,"['national2024-12', 'sichuan2024-05']"
Q15,离线规则,规则建议,True,True,True,2,1,True,True,,"['national2024-10', 'national2024-05']"
Q16,离线规则,规则建议,True,True,True,2,2,True,True,,"['sichuan2024-01', 'sichuan2024-02']"
Q17,离线规则,规则建议,True,True,True,2,1,True,True,,"['national2024-12', 'sichuan2024-05']"
Q18,离线规则,规则建议,True,True,True,2,1,True,True,,"['national2024-10', 'national2024-12']"
Q19,离线规则,规则建议,True,True,True,2,2,True,True,,"['sichuan2024-01', 'sichuan2024-02']"
Q20,离线规则,规则建议,True,True,True,2,1,True,True,,"['national2024-10', 'national2024-05']"
